,Group,Case,Total value,Total weight,Runtime (s),Optimal (Y/N)
0,00Uncorrelated,n00050,18331,11457,0.0,Yes
1,00Uncorrelated,n00100,37171,25730,0.000508,Yes
2,00Uncorrelated,n00200,78515,48331,0.0,Yes
3,00Uncorrelated,n00500,206712,128495,0.000511,Yes
4,00Uncorrelated,n01000,407099,248367,0.001521,Yes
5,01WeaklyCorrelated,n00050,13539,12054,0.0,Yes
6,01WeaklyCorrelated,n00100,28042,25469,0.000505,Yes
7,01WeaklyCorrelated,n00200,54945,49586,0.0,Yes
8,01WeaklyCorrelated,n00500,137409,124542,0.001562,Yes
9,01WeaklyCorrelated,n01000,275845,249664,0.004006,Yes
10,02StronglyCorrelated,n00050,15567,12067,0.052723,Yes
11,02StronglyCorrelated,n00100,32470,25470,0.434681,Yes
12,02StronglyCorrelated,n00200,63678,49578,120.158304,No
13,02StronglyCorrelated,n00500,159544,124544,120.050389,No
14,02StronglyCorrelated,n01000,319217,249417,120.06476,No
15,03InverseStronglyCorrelated,n00050,12942,14542,0.062223,Yes
16,03InverseStronglyCorrelated,n00100,27220,30420,23.008079,Yes
17,03InverseStronglyCorrelated,n00200,53293,59493,0.0,Yes
18,03InverseStronglyCorrelated,n00500,133396,149296,121.359441,No
19,03InverseStronglyCorrelated,n01000,266766,298666,119.947454,Yes
20,04AlmostStronglyCorrelated,n00050,15581,12067,0.023824,Yes
21,04AlmostStronglyCorrelated,n00100,32473,25469,0.194683,Yes
22,04AlmostStronglyCorrelated,n00200,63712,49592,120.061317,No
23,04AlmostStronglyCorrelated,n00500,159552,124544,24.492119,Yes
24,04AlmostStronglyCorrelated,n01000,319354,249553,120.03891,No
25,05SubsetSum,n00050,12067,12067,0.001548,Yes
26,05SubsetSum,n00100,25470,25470,0.000508,Yes
27,05SubsetSum,n00200,49592,49592,0.0,Yes
28,05SubsetSum,n00500,124544,124544,0.0,Yes
29,05SubsetSum,n01000,249664,249664,0.000506,Yes
30,06UncorrelatedWithSimilarWeights,n00050,18144,2401260,0.047276,Yes
31,06UncorrelatedWithSimilarWeights,n00100,38026,4902242,0.480244,Yes
32,06UncorrelatedWithSimilarWeights,n00200,75455,9904859,0.0,Yes
33,06UncorrelatedWithSimilarWeights,n00500,186589,24712444,120.04768,No
34,06UncorrelatedWithSimilarWeights,n01000,372392,49525290,0.098878,Yes
35,07SpannerUncorrelated,n00050,8901,7245,0.189851,Yes
36,07SpannerUncorrelated,n00100,16983,13689,117.072545,Yes
37,07SpannerUncorrelated,n00200,34703,27097,118.384076,Yes
38,07SpannerUncorrelated,n00500,87509,68287,0.0,Yes
39,07SpannerUncorrelated,n01000,171710,136330,120.085077,No
40,08SpannerWeaklyCorrelated,n00050,15144,5333,0.921679,Yes
41,08SpannerWeaklyCorrelated,n00100,28648,10195,124.645028,No
42,08SpannerWeaklyCorrelated,n00200,56456,20774,125.489542,No
43,08SpannerWeaklyCorrelated,n00500,142270,52395,0.0,Yes
44,08SpannerWeaklyCorrelated,n01000,284688,103111,121.316789,No
45,09SpannerStronglyCorrelated,n00050,25350,5350,3.816322,Yes
46,09SpannerStronglyCorrelated,n00100,48280,10180,120.038389,No
47,09SpannerStronglyCorrelated,n00200,96502,20802,123.79697,No
48,09SpannerStronglyCorrelated,n00500,242193,52393,120.020679,No
49,09SpannerStronglyCorrelated,n01000,482856,103156,119.107483,Yes
50,10MultipleStronglyCorrelated,n00050,19666,12066,0.0,Yes
51,10MultipleStronglyCorrelated,n00100,40669,25469,0.0,Yes
52,10MultipleStronglyCorrelated,n00200,80390,49590,0.044131,Yes
53,10MultipleStronglyCorrelated,n00500,201342,124542,120.076808,No
54,10MultipleStronglyCorrelated,n01000,402460,249660,120.042058,No
55,11ProfitCeiling,n00050,12060,12067,0.002144,Yes
56,11ProfitCeiling,n00100,25455,25469,120.025869,No
57,11ProfitCeiling,n00200,49569,49592,0.011202,Yes
58,11ProfitCeiling,n00500,124491,124542,120.029959,No
59,11ProfitCeiling,n01000,249555,249664,122.77845,No
60,12Circle,n00050,254262,12067,0.386199,Yes
61,12Circle,n00100,536677,25470,116.330594,Yes
62,12Circle,n00200,1044950,49592,119.399916,Yes
63,12Circle,n00500,2624256,124544,120.036466,No
64,12Circle,n01000,5260647,249664,120.033317,No
